999 3989 
260 493 98 
515 780 26 
780 766 100 
252 754 73 
775 925 26 
784 646 9 
271 172 87 
12 11 35 
782 719 2 
787 564 93 
515 806 78 
3 298 10 
536 159 11 
541 5 99 
510 971 61 
530 359 80 
267 321 46 
276 44 6 
260 545 75 
799 222 25 
801 167 66 
258 617 44 
781 789 56 
277 34 98 
783 732 62 
271 221 82 
781 796 28 
785 676 43 
255 726 91 
538 148 53 
785 684 73 
519 740 84 
527 493 62 
786 657 89 
798 286 30 
522 653 59 
527 501 48 
266 403 2 
780 853 82 
788 609 88 
265 439 6 
520 727 47 
516 854 1 
269 321 75 
538 175 85 
803 153 79 
783 774 43 
786 681 94 
778 936 21 
279 28 23 
258 683 100 
513 975 19 
270 317 27 
783 798 45 
13 93 18 
544 17 53 
799 304 46 
275 168 30 
526 582 42 
268 391 78 
798 348 10 
256 769 6 
260 649 13 
267 434 1 
279 66 37 
272 284 53 
789 644 8 
794 490 44 
803 213 2 
521 765 33 
798 370 34 
262 604 62 
529 523 27 
276 176 19 
274 239 88 
809 38 35 
542 124 64 
538 249 51 
535 343 63 
270 367 11 
801 291 45 
13 144 100 
278 122 11 
798 389 14 
250 994 40 
257 778 67 
793 548 55 
251 970 55 
806 150 35 
14 128 89 
537 301 93 
540 208 75 
808 95 4 
795 500 25 
278 145 69 
18 17 38 
799 382 69 
802 294 54 
804 234 50 
806 172 5 
522 788 35 
251 998 39 
784 859 89 
14 154 35 
522 790 65 
800 367 53 
266 539 1 
276 233 97 
810 63 66 
809 95 41 
800 382 31 
14 176 32 
1 581 58 
800 390 41 
270 437 12 
807 174 80 
259 786 12 
264 633 78 
282 75 88 
13 223 79 
3 537 98 
283 50 92 
520 895 45 
783 937 87 
809 131 1 
800 411 3 
5 487 27 
282 95 92 
523 821 2 
540 294 9 
801 397 72 
803 340 97 
18 102 51 
812 70 84 
20 53 2 
259 843 26 
19 99 29 
284 76 73 
526 769 24 
809 189 80 
809 190 12 
793 690 83 
806 287 92 
286 24 70 
812 106 38 
10 393 3 
15 240 52 
535 505 10 
799 520 3 
809 211 48 
787 900 84 
539 406 57 
526 810 84 
6 547 98 
798 572 40 
16 242 15 
526 820 8 
539 417 99 
2 681 40 
260 877 37 
265 725 31 
2 687 66 
534 580 73 
10 444 21 
22 73 86 
523 931 8 
786 972 3 
21 116 17 
526 848 70 
533 631 31 
801 520 48 
258 974 79 
545 272 32 
6 606 89 
549 162 55 
3 706 38 
15 334 75 
280 313 34 
546 259 1 
277 407 70 
530 757 37 
796 703 53 
5 649 97 
3 716 23 
287 105 84 
543 361 43 
22 130 78 
787 992 31 
7 601 48 
279 365 79 
808 351 35 
811 261 24 
807 387 73 
25 55 72 
555 9 23 
817 81 18 
805 454 96 
19 246 2 
555 14 9 
792 861 34 
261 943 92 
531 768 84 
22 164 24 
793 841 91 
13 447 37 
268 735 52 
281 334 36 
531 776 57 
2 794 10 
275 524 4 
544 377 99 
14 425 11 
797 730 48 
804 513 24 
11 522 66 
797 732 27 
802 579 39 
261 967 37 
531 791 60 
25 100 40 
275 547 18 
542 462 44 
804 533 87 
551 185 99 
800 662 38 
9 609 69 
20 268 51 
262 958 68 
554 101 35 
268 779 99 
812 299 43 
531 821 44 
816 178 84 
536 667 80 
18 343 68 
287 197 32 
25 128 11 
4 783 20 
549 273 58 
24 167 38 
528 927 83 
818 129 50 
526 990 29 
537 649 16 
811 347 45 
293 25 86 
557 35 45 
530 873 35 
544 440 52 
270 745 70 
532 817 87 
804 577 91 
28 58 59 
557 43 25 
801 677 100 
283 352 1 
795 865 64 
29 40 10 
267 862 2 
277 553 59 
532 843 24 
558 39 83 
285 313 22 
541 571 15 
2 900 20 
534 796 99 
545 461 81 
28 108 88 
540 623 64 
282 437 18 
803 672 39 
10 682 12 
18 435 4 
19 404 73 
555 177 91 
271 791 28 
283 420 54 
816 281 31 
293 114 42 
558 91 18 
16 526 92 
272 785 99 
13 628 95 
797 900 49 
542 614 10 
20 413 83 
21 383 27 
29 135 70 
280 546 6 
283 456 89 
538 743 1 
814 384 100 
558 129 99 
562 5 76 
294 124 5 
4 923 64 
20 434 96 
822 148 6 
277 664 71 
562 29 79 
286 395 42 
819 257 77 
31 112 21 
814 415 56 
15 609 96 
293 184 74 
31 115 53 
30 147 49 
550 413 32 
536 849 24 
810 548 87 
292 224 31 
538 791 40 
288 350 48 
553 329 14 
813 464 52 
290 294 35 
546 551 47 
554 307 45 
275 767 74 
8 853 52 
532 993 6 
827 42 72 
826 74 85 
7 888 17 
32 113 58 
820 261 89 
26 300 46 
821 231 51 
551 410 30 
561 100 2 
798 946 81 
561 102 33 
824 148 19 
817 368 30 
35 37 41 
560 151 89 
270 950 51 
805 749 24 
297 119 84 
829 11 87 
23 424 26 
270 962 21 
544 660 57 
556 291 33 
817 393 94 
293 256 27 
17 621 62 
538 854 35 
805 769 67 
294 232 69 
33 132 91 
276 792 51 
816 436 7 
541 772 95 
555 338 38 
298 114 49 
828 68 11 
534 992 44 
812 569 70 
811 605 89 
12 800 69 
296 189 48 
280 687 29 
17 650 54 
566 15 80 
283 597 52 
804 831 54 
828 87 16 
14 748 70 
19 594 46 
556 332 90 
296 201 83 
564 87 52 
535 989 5 
301 56 63 
549 565 57 
9 923 3 
26 397 63 
27 367 87 
815 515 48 
277 810 48 
301 67 71 
303 6 89 
300 102 59 
537 949 51 
554 423 92 
547 642 16 
297 202 15 
539 892 78 
289 453 2 
560 248 24 
11 886 78 
286 559 25 
35 157 64 
814 584 55 
290 445 95 
8 996 97 
17 717 35 
551 551 77 
25 476 33 
814 594 80 
20 635 39 
290 458 20 
288 521 14 
552 530 63 
26 455 50 
26 459 84 
301 126 41 
546 725 31 
832 51 4 
556 416 92 
563 202 82 
802 989 44 
286 605 92 
546 737 74 
280 794 54 
569 29 8 
819 473 44 
26 482 14 
551 594 94 
807 852 94 
547 721 24 
563 227 2 
16 802 46 
298 252 15 
561 292 6 
565 169 1 
561 300 39 
823 370 4 
557 426 78 
293 419 66 
564 210 34 
300 203 86 
563 242 26 
38 135 34 
835 4 10 
293 425 65 
542 900 36 
42 17 29 
826 290 40 
828 228 57 
17 801 31 
560 360 79 
276 974 19 
16 845 3 
815 656 72 
568 122 94 
28 482 20 
284 738 86 
292 491 83 
572 3 18 
820 507 12 
566 190 17 
31 392 45 
826 324 67 
281 836 94 
43 23 98 
307 31 56 
292 499 100 
571 43 5 
807 919 33 
42 60 89 
25 590 94 
544 888 9 
812 772 28 
40 129 31 
297 355 20 
280 887 66 
291 547 31 
824 408 78 
17 851 57 
568 155 26 
813 753 63 
822 480 92 
16 891 39 
286 714 78 
569 133 48 
27 554 42 
827 331 65 
24 650 73 
282 845 18 
304 165 23 
42 98 83 
819 587 93 
814 743 28 
35 317 25 
38 224 16 
552 675 56 
15 939 48 
43 73 37 
559 465 54 
837 40 16 
44 48 17 
551 716 93 
302 244 97 
305 156 21 
42 119 5 
549 794 53 
567 237 14 
812 837 96 
821 560 12 
812 840 66 
554 647 36 
30 511 87 
837 72 94 
831 259 90 
282 898 96 
302 278 7 
817 698 6 
285 807 31 
819 638 47 
302 283 1 
829 330 45 
304 223 42 
30 529 42 
551 764 21 
823 524 36 
296 479 80 
557 580 7 
282 914 35 
809 962 80 
32 477 25 
307 144 62 
822 569 6 
45 81 62 
830 322 93 
837 105 64 
303 278 76 
554 690 92 
833 233 66 
551 784 3 
822 577 54 
34 431 12 
280 997 16 
310 67 23 
292 628 83 
29 595 15 
294 574 90 
814 840 49 
546 957 99 
570 213 67 
829 378 69 
281 983 30 
574 94 27 
574 102 72 
576 43 100 
829 392 10 
829 394 96 
834 239 100 
547 946 100 
286 846 3 
291 695 30 
305 261 68 
556 672 90 
837 154 87 
309 140 89 
560 554 24 
840 67 76 
312 53 5 
294 614 88 
558 623 4 
811 975 20 
287 838 79 
288 808 43 
549 913 35 
22 870 81 
834 274 95 
569 298 39 
814 895 13 
292 694 55 
32 563 16 
819 742 72 
557 673 24 
27 728 19 
292 708 86 
295 615 69 
50 20 36 
33 548 81 
577 69 75 
44 209 60 
814 916 31 
550 910 62 
308 221 100 
36 462 68 
558 665 20 
835 273 11 
553 824 12 
838 182 6 
312 105 6 
557 708 7 
830 437 54 
563 523 65 
578 63 82 
579 32 100 
288 864 78 
35 523 58 
48 120 49 
579 44 68 
285 968 57 
815 926 83 
561 609 65 
286 944 25 
21 969 50 
26 814 17 
837 250 86 
44 263 11 
39 419 40 
563 559 19 
551 933 29 
292 771 5 
816 912 50 
51 53 52 
566 477 51 
814 983 83 
306 349 41 
552 919 27 
561 644 96 
569 396 73 
36 539 10 
579 91 38 
568 437 46 
296 680 26 
561 661 31 
287 966 50 
35 589 51 
297 659 4 
299 598 76 
558 761 27 
35 595 67 
303 479 59 
815 991 28 
839 248 50 
563 616 25 
309 302 52 
38 514 43 
294 770 1 
299 615 31 
295 744 38 
561 692 54 
573 320 85 
291 873 12 
562 669 19 
46 283 50 
831 526 26 
54 39 50 
318 59 10 
44 362 84 
844 139 95 
829 607 81 
832 515 27 
32 740 98 
831 549 36 
30 806 98 
44 372 69 
51 157 17 
55 34 36 
40 500 75 
567 549 53 
318 81 21 
835 438 24 
319 51 55 
40 511 92 
51 173 49 
302 586 2 
835 447 67 
56 22 14 
839 331 14 
821 892 78 
828 675 57 
30 838 72 
568 546 13 
579 210 18 
574 367 80 
584 60 58 
53 140 35 
559 838 79 
318 120 39 
308 433 2 
586 10 56 
301 657 37 
826 766 15 
308 441 99 
834 520 67 
558 889 66 
564 706 14 
56 74 22 
58 13 83 
322 22 40 
820 968 23 
35 731 76 
584 99 75 
300 715 99 
307 498 3 
310 410 14 
559 883 87 
567 637 51 
35 747 10 
823 895 36 
585 87 88 
314 297 87 
561 832 42 
556 993 47 
305 584 29 
558 933 76 
30 918 20 
823 912 51 
308 494 1 
564 752 5 
840 392 70 
848 144 94 
837 486 17 
49 339 42 
840 394 79 
59 30 95 
849 116 61 
832 650 57 
852 30 13 
582 210 72 
303 670 26 
309 484 48 
58 74 7 
309 487 15 
58 77 23 
304 643 6 
842 353 88 
56 149 84 
560 910 16 
317 255 24 
312 411 85 
313 383 85 
302 728 75 
830 745 75 
854 1 20 
37 753 65 
39 695 94 
564 805 12 
313 395 98 
35 822 54 
305 645 65 
318 243 50 
35 825 96 
823 973 8 
566 751 81 
846 264 66 
830 761 29 
320 190 100 
297 904 45 
37 775 81 
37 777 71 
305 668 16 
318 267 11 
326 19 99 
589 58 22 
37 793 85 
49 423 80 
831 759 8 
847 264 16 
566 787 49 
62 28 64 
570 665 63 
32 961 36 
583 265 74 
58 157 43 
577 453 2 
588 115 51 
584 244 12 
825 968 91 
49 449 16 
825 969 50 
62 47 52 
578 436 49 
32 979 49 
579 408 53 
590 67 69 
35 889 19 
826 944 34 
853 113 15 
587 168 40 
56 246 64 
588 139 68 
854 85 62 
576 513 89 
585 235 57 
578 455 25 
591 53 40 
302 822 91 
574 588 76 
833 751 23 
305 737 43 
579 435 57 
306 708 47 
47 546 33 
58 205 52 
64 20 59 
315 434 2 
563 939 68 
323 189 49 
35 926 24 
565 884 93 
563 948 39 
579 452 28 
844 431 40 
836 682 68 
857 33 34 
328 49 83 
299 951 14 
565 897 36 
832 812 89 
59 200 69 
853 164 89 
326 120 83 
836 694 36 
35 953 11 
829 916 88 
309 653 75 
829 917 1 
837 670 62 
39 835 81 
842 519 49 
851 240 53 
857 55 80 
54 374 52 
589 174 26 
848 338 20 
306 757 57 
846 402 54 
38 876 59 
570 771 41 
836 718 7 
856 99 25 
578 529 55 
576 593 80 
595 7 75 
41 798 17 
578 535 15 
329 65 90 
307 751 96 
845 460 2 
567 893 68 
573 707 20 
578 552 87 
312 608 46 
580 492 56 
589 213 41 
312 609 53 
851 284 49 
36 974 52 
842 564 51 
571 776 14 
38 917 32 
566 934 57 
582 446 34 
312 625 42 
45 712 49 
332 11 12 
316 508 95 
314 573 93 
855 186 57 
829 993 72 
304 888 48 
306 827 99 
566 961 20 
595 64 80 
838 724 88 
597 7 26 
316 528 100 
571 815 74 
579 567 74 
50 583 60 
52 521 37 
573 755 11 
62 215 100 
306 843 32 
330 101 25 
596 51 46 
577 643 87 
588 303 82 
329 141 29 
591 214 23 
858 133 60 
317 521 37 
836 818 63 
331 91 74 
43 830 100 
308 808 77 
40 925 72 
584 446 40 
309 780 89 
307 844 98 
322 381 98 
574 762 28 
578 638 95 
833 925 3 
590 271 50 
593 180 34 
573 812 21 
847 511 94 
65 178 22 
589 319 51 
329 189 53 
584 476 24 
40 962 39 
310 785 41 
332 105 34 
328 231 86 
65 194 51 
845 593 2 
325 334 85 
590 313 57 
317 586 89 
853 354 40 
843 666 17 
859 170 81 
304 992 25 
573 845 99 
595 164 83 
320 498 69 
595 165 96 
863 49 74 
855 301 50 
592 263 45 
580 642 54 
46 813 33 
336 20 12 
845 625 68 
576 773 50 
584 527 37 
837 876 14 
590 342 42 
850 474 2 
590 345 75 
599 68 13 
858 232 26 
853 389 80 
576 787 56 
589 384 98 
310 842 90 
331 192 27 
841 766 93 
865 23 14 
582 605 18 
840 802 42 
70 98 48 
578 736 20 
593 275 68 
47 821 83 
335 90 12 
599 99 34 
845 666 95 
848 574 71 
48 800 76 
854 390 57 
851 484 74 
66 247 35 
599 110 67 
846 647 80 
835 996 97 
53 663 87 
63 355 45 
849 566 64 
591 373 47 
841 815 82 
859 259 70 
583 624 26 
589 438 74 
571 998 19 
57 549 46 
861 203 27 
858 298 66 
334 160 39 
847 641 88 
844 735 52 
860 239 68 
865 84 99 
867 24 44 
321 571 43 
72 99 72 
865 93 64 
334 172 87 
66 289 77 
858 316 81 
69 204 6 
859 291 10 
600 129 23 
584 628 94 
865 109 80 
576 877 74 
308 995 89 
322 565 50 
58 560 32 
54 685 46 
311 911 43 
52 755 51 
52 756 50 
75 44 80 
309 983 21 
333 240 86 
320 644 8 
605 3 39 
839 942 91 
605 8 52 
601 133 50 
60 523 17 
321 627 53 
317 758 98 
339 79 79 
316 793 86 
65 386 38 
74 110 58 
603 95 69 
598 251 73 
62 486 14 
327 464 15 
581 783 35 
315 838 86 
67 337 9 
321 656 5 
592 448 35 
333 291 18 
595 361 5 
312 943 44 
66 379 80 
321 667 48 
65 413 68 
335 235 1 
341 50 8 
329 429 95 
596 344 2 
852 600 22 
68 331 36 
580 843 45 
607 6 13 
842 915 98 
857 451 91 
867 141 21 
864 235 22 
326 532 5 
846 796 82 
596 356 97 
584 733 38 
338 171 86 
868 125 54 
51 877 68 
342 50 47 
582 803 52 
870 72 97 
867 166 59 
331 402 47 
50 925 46 
64 493 96 
336 253 97 
581 850 30 
316 882 72 
851 683 70 
841 995 41 
343 50 4 
322 702 25 
80 14 33 
856 534 37 
341 116 6 
848 783 72 
316 892 89 
863 320 40 
318 836 81 
855 573 53 
859 449 61 
62 581 4 
313 994 5 
862 361 20 
864 299 81 
330 477 17 
842 989 72 
862 370 80 
854 620 13 
71 318 99 
77 132 68 
63 567 74 
319 824 17 
330 484 84 
590 617 14 
326 614 38 
78 114 94 
316 931 75 
607 104 75 
50 990 10 
593 543 91 
873 55 86 
59 723 80 
57 787 3 
324 702 64 
333 431 84 
855 634 76 
51 992 46 
849 831 54 
80 99 33 
69 442 48 
69 444 34 
596 492 15 
335 392 20 
598 431 12 
871 161 17 
72 358 68 
869 227 37 
336 368 1 
329 586 76 
72 363 57 
335 402 6 
856 640 83 
83 30 71 
847 924 3 
56 871 55 
317 972 25 
75 285 10 
847 937 44 
612 32 61 
325 743 87 
319 932 66 
599 448 90 
867 334 73 
596 544 51 
868 304 13 
322 847 93 
63 685 39 
847 959 1 
337 386 55 
593 648 28 
587 835 9 
584 930 23 
605 279 50 
329 645 92 
853 787 42 
334 495 68 
54 985 61 
599 474 79 
603 351 76 
56 925 16 
57 896 92 
610 138 100 
877 53 27 
64 681 22 
333 536 69 
850 894 51 
77 286 46 
854 779 49 
71 477 51 
82 142 66 
67 612 74 
855 761 20 
591 760 77 
65 684 54 
342 289 81 
605 328 11 
864 492 49 
61 812 13 
87 6 89 
326 790 33 
79 257 12 
57 942 88 
81 201 83 
590 808 17 
59 887 63 
850 942 3 
873 232 92 
614 70 16 
608 258 36 
73 461 22 
876 144 94 
338 442 67 
600 514 46 
867 432 43 
598 580 21 
78 319 64 
84 133 32 
596 645 54 
588 897 6 
864 533 56 
872 285 78 
873 254 81 
59 914 15 
585 993 23 
590 838 87 
864 536 61 
347 184 88 
72 519 40 
586 969 94 
65 737 29 
325 869 74 
594 732 99 
84 159 78 
617 20 89 
343 323 49 
602 486 10 
352 48 14 
73 514 86 
606 375 97 
614 127 22 
82 236 94 
590 872 54 
601 532 53 
324 931 38 
851 979 44 
70 623 61 
334 635 22 
323 979 11 
327 855 18 
343 359 58 
345 298 57 
603 492 30 
65 787 55 
857 814 83 
74 513 20 
333 679 23 
868 481 33 
852 978 45 
333 688 21 
615 139 57 
81 315 49 
866 557 61 
597 705 68 
878 186 16 
881 93 87 
78 412 31 
325 950 74 
854 936 60 
86 169 81 
78 418 41 
87 142 35 
609 344 85 
608 378 21 
858 820 71 
868 512 33 
86 180 34 
84 244 38 
340 507 1 
857 865 54 
865 623 79 
355 50 39 
604 523 27 
333 734 1 
602 587 23 
355 53 42 
329 861 92 
856 909 78 
68 762 70 
87 175 26 
328 898 100 
870 480 94 
71 674 17 
880 172 36 
868 547 87 
69 742 58 
82 340 38 
612 296 55 
340 537 76 
860 801 42 
81 377 9 
860 804 71 
89 130 15 
601 645 90 
595 833 23 
81 384 55 
863 721 4 
348 305 96 
859 848 11 
65 889 37 
621 40 46 
92 56 57 
859 859 29 
67 840 56 
614 270 77 
596 833 57 
74 633 71 
93 44 88 
327 985 87 
877 323 41 
622 39 67 
605 569 63 
66 897 87 
87 247 98 
327 999 31 
607 511 38 
338 659 61 
856 987 39 
80 468 90 
333 820 37 
593 953 8 
81 447 17 
86 292 9 
605 587 70 
604 619 83 
91 139 71 
331 891 12 
865 721 34 
335 768 77 
94 48 12 
342 555 93 
863 789 11 
859 914 22 
879 294 53 
883 174 96 
342 562 52 
887 52 18 
93 93 25 
614 327 86 
91 163 35 
70 816 92 
885 134 36 
889 12 33 
88 273 42 
74 713 37 
615 326 48 
605 637 24 
97 2 67 
334 850 73 
594 983 78 
361 16 51 
617 273 40 
93 134 45 
601 770 28 
872 561 83 
86 352 21 
609 525 73 
348 428 43 
83 454 59 
340 680 21 
888 76 31 
336 807 28 
609 536 19 
73 770 94 
881 299 74 
874 518 8 
876 462 14 
885 186 2 
334 884 68 
617 305 95 
601 802 27 
98 12 42 
868 718 72 
67 976 89 
622 156 98 
888 102 45 
606 653 37 
338 773 71 
624 100 75 
613 442 72 
332 962 86 
620 226 32 
355 250 59 
625 72 15 
875 514 53 
615 383 60 
608 601 30 
861 950 99 
70 897 22 
82 527 52 
344 598 32 
336 847 81 
341 692 35 
91 252 71 
599 890 2 
89 318 71 
356 233 16 
601 835 69 
881 349 77 
361 87 96 
619 281 50 
88 359 64 
69 949 48 
342 679 57 
622 191 48 
86 425 45 
97 84 28 
873 605 49 
89 334 75 
339 777 55 
347 532 5 
356 253 64 
82 557 88 
875 550 67 
880 395 39 
886 212 48 
874 589 27 
889 125 61 
88 381 83 
602 840 74 
609 627 13 
871 697 45 
887 202 20 
86 461 100 
626 105 45 
867 827 27 
877 518 80 
340 783 38 
882 366 97 
338 847 52 
351 446 53 
617 392 11 
93 255 23 
349 511 18 
361 139 95 
89 382 86 
873 655 72 
624 183 94 
101 13 28 
86 479 53 
337 891 28 
603 839 83 
610 623 88 
864 941 39 
873 664 60 
610 634 22 
876 581 8 
345 659 18 
71 962 20 
341 784 80 
886 274 13 
881 430 70 
866 897 48 
349 542 46 
629 56 92 
886 281 88 
875 627 100 
612 589 90 
600 967 92 
343 753 32 
871 769 49 
621 328 17 
867 894 15 
626 176 90 
97 195 33 
615 521 92 
864 997 38 
602 931 33 
877 599 13 
365 88 25 
880 508 2 
891 167 57 
96 237 52 
336 992 75 
339 902 21 
877 608 12 
895 50 97 
612 632 37 
341 846 73 
628 143 86 
882 461 58 
360 265 37 
629 118 90 
343 798 30 
867 940 13 
351 554 40 
628 159 38 
74 950 7 
630 98 25 
873 757 83 
368 29 26 
889 264 96 
895 79 66 
615 571 68 
613 635 63 
103 62 14 
614 607 45 
98 221 34 
358 353 52 
630 113 64 
614 611 74 
84 681 42 
622 387 35 
344 814 86 
101 157 98 
98 251 82 
626 270 28 
99 224 14 
879 620 53 
348 705 25 
361 307 20 
345 804 53 
348 712 97 
346 778 18 
340 965 14 
627 261 55 
92 463 35 
873 831 32 
103 126 3 
353 569 70 
96 348 66 
356 480 82 
876 746 48 
890 312 21 
878 687 9 
99 264 34 
77 947 31 
94 425 92 
77 954 74 
361 342 3 
613 722 67 
76 986 62 
636 10 67 
350 686 31 
629 229 38 
627 292 84 
351 660 66 
363 288 67 
612 761 84 
618 575 66 
615 671 89 
894 217 2 
100 259 56 
890 348 62 
84 759 39 
887 442 9 
628 280 5 
354 584 13 
366 213 31 
897 136 49 
618 596 52 
355 558 25 
623 450 25 
633 140 100 
79 931 91 
109 1 63 
84 780 5 
878 744 5 
629 272 40 
82 854 95 
611 839 22 
875 848 96 
883 601 54 
892 324 66 
881 674 6 
362 380 47 
356 568 12 
629 297 24 
619 608 23 
618 642 92 
621 549 99 
619 613 55 
94 506 5 
883 625 45 
636 92 88 
99 360 91 
878 792 33 
89 687 29 
101 318 60 
107 133 69 
613 831 11 
628 366 3 
99 382 64 
89 693 6 
358 548 41 
359 526 5 
626 441 37 
88 744 80 
636 141 42 
368 261 86 
376 16 43 
359 552 80 
626 469 39 
85 860 70 
634 226 89 
619 693 16 
632 290 7 
93 617 51 
109 123 21 
640 47 47 
616 792 41 
89 750 63 
616 800 8 
100 416 80 
615 835 77 
633 281 90 
898 260 65 
619 718 34 
894 385 85 
884 698 10 
377 34 18 
641 46 14 
351 846 33 
370 257 93 
90 746 48 
904 88 17 
89 778 66 
636 205 70 
106 256 2 
614 892 22 
353 792 8 
637 180 55 
637 182 48 
99 477 75 
349 919 34 
905 69 20 
102 387 37 
621 684 19 
361 553 8 
97 551 38 
633 320 51 
898 297 76 
636 230 24 
352 843 4 
617 824 62 
373 199 93 
93 693 42 
94 662 94 
903 160 93 
91 760 49 
359 646 20 
375 150 44 
351 899 12 
376 126 35 
904 145 17 
380 6 64 
889 611 6 
108 248 46 
620 760 55 
84 995 87 
362 571 42 
106 319 36 
364 513 81 
640 152 83 
613 990 14 
364 520 44 
891 567 22 
880 909 17 
368 400 2 
380 29 11 
638 223 94 
645 6 89 
357 743 8 
900 294 64 
884 794 62 
85 988 79 
906 114 64 
886 735 57 
896 426 86 
881 893 85 
889 646 37 
636 300 65 
87 937 90 
86 971 77 
644 57 40 
904 191 65 
643 91 56 
97 635 77 
95 699 64 
354 865 27 
626 626 51 
901 293 72 
366 495 81 
637 286 55 
622 752 87 
351 962 12 
355 840 99 
630 507 99 
908 81 10 
905 175 38 
619 852 69 
621 790 39 
113 155 24 
645 47 55 
114 125 3 
879 986 11 
101 533 73 
628 585 37 
640 217 97 
92 826 49 
117 51 12 
100 579 96 
617 946 56 
99 621 2 
904 243 10 
106 409 54 
641 208 50 
90 914 1 
352 985 64 
904 257 66 
360 739 92 
91 891 15 
640 256 34 
101 584 2 
906 205 17 
381 97 58 
645 108 12 
903 302 33 
117 93 35 
101 590 52 
640 266 10 
94 809 72 
356 879 6 
624 763 13 
368 508 45 
98 689 90 
381 108 92 
627 676 60 
362 718 49 
882 985 51 
898 489 14 
357 878 23 
365 634 74 
628 674 24 
95 815 46 
904 312 83 
91 941 4 
355 949 76 
901 407 38 
95 818 4 
96 787 58 
896 570 14 
647 100 31 
635 475 82 
113 274 63 
95 834 93 
639 354 96 
111 340 23 
634 513 17 
890 769 69 
372 444 73 
645 173 66 
892 711 83 
901 432 22 
117 161 71 
107 472 44 
885 930 72 
906 279 62 
109 415 2 
355 981 77 
637 432 79 
884 967 92 
112 324 59 
890 782 72 
367 615 82 
111 361 99 
108 456 36 
109 425 35 
892 728 8 
101 674 25 
386 32 21 
92 961 56 
895 644 6 
634 545 88 
637 452 72 
98 780 90 
636 489 10 
908 252 96 
626 803 91 
642 308 27 
625 836 89 
621 964 56 
119 146 25 
889 852 65 
358 930 54 
356 997 6 
365 722 50 
646 206 99 
909 245 46 
367 664 22 
362 823 6 
887 933 71 
364 766 63 
888 907 9 
911 197 45 
374 461 77 
894 726 79 
896 669 85 
640 414 64 
98 835 69 
114 339 6 
914 115 6 
652 46 80 
651 78 37 
891 832 17 
374 477 39 
650 114 100 
896 685 16 
116 291 1 
637 524 18 
915 100 47 
360 923 31 
635 592 50 
102 736 56 
97 892 48 
120 179 37 
364 808 44 
637 538 77 
111 461 38 
120 185 55 
94 998 19 
625 921 24 
386 140 44 
96 942 99 
641 431 58 
909 317 95 
916 103 20 
118 268 60 
894 789 50 
375 495 100 
889 945 11 
643 385 36 
625 944 77 
628 852 41 
655 15 13 
916 116 64 
115 374 29 
909 339 50 
896 744 59 
378 420 79 
896 752 93 
648 253 81 
651 160 77 
902 572 87 
652 131 82 
374 558 34 
112 489 26 
101 832 68 
909 360 61 
107 647 80 
102 804 72 
634 698 28 
917 117 35 
380 382 60 
107 655 44 
385 231 14 
649 248 72 
363 925 47 
111 546 94 
645 377 44 
380 405 86 
914 235 64 
905 515 50 
121 244 90 
391 69 22 
899 707 48 
901 647 50 
897 780 19 
377 522 98 
376 554 69 
635 717 38 
101 889 10 
123 209 17 
641 538 1 
103 833 13 
125 158 55 
383 352 16 
